title,image,content
'R Xmas,https://upload.wikimedia.org/wikipedia/en/c/c8/R_xmas_poster.jpg,"The movie opens with the following disclaimer: “In December of 1993 the Honorable David Dinkins was completing his first and only term as Mayor of New York.”  An unnamed Latin-American married couple outwardly live as affluent socialites - sending their daughter to a private school, living in a high-rise with doormen - but earn their money commuting to a drab Flushing apartment where, with their relatives, they package and sell heroin. Before Christmas, one of the husband's regular associates asks him to hold a large quantity of heroin for him over the holiday.  On Christmas Eve, the husband takes an ostensibly routine meeting while the wife visits an illicit pawnshop hoping to obtain a popular sold-out ""Party Girl"" doll for their daughter. After buying the toy, she is accosted by a man in possession of her husband's driver's license. He informs her he has been kidnapped, and gives her 20 minutes to collect as much money as she can for ransom. After getting approximately $15,000 from her street dealers, she brings it to him, but he is dissatisfied with the low sum. Relaying his knowledge of personal information about them and their child, he demands she deliver more money, and all the drugs they have on hand. As she attempts to gather these during a time when clients and family are out of contact for the Christmas holiday, the husband is beaten by a gang whose manner of speaking suggests they are rogue police. When the wife returns, the liaison gets strangely familiar with her, asking personal questions about their marriage, and warns her to make sure he stops dealing. Come Christmas morning, the father is safely home, and their daughter happily receives her Party Girl doll.  TV coverage shortly after the incident reveals that a corrupt band of police have been arrested for activities including dealing drugs, and the wife recognizes one of the arrested officers as the man she dealt with. While they share concerns about what future troubles may arise from their business, they are not willing to give up their upscale lifestyle, and ultimately continue. At a lavish party they attend, the husband is briefly diverted by some of his dealers, who reveal they have found and killed the associate who asked him to sit on the heroin, assuming that he had tipped off the cops who kidnapped him. He returns to the party, and goes on stage to sing a ballad to his wife.  The movie closes with the following disclaimer: ""Less than one month later Rudolph Giuliani is sworn in as the 107th Mayor of New York City.  To be cont..."""
'Twas the Night,https://upload.wikimedia.org/wikipedia/en/b/ba/Twas_the_Night.jpg,"A troubled and irresponsible man named Nick Wrigley (Bryan Cranston) is hacked by criminals who are looking for a bank account code to Nick's boss. The criminals Bill (Jeff Geddis) and Harry (Sandy Robson) manage to find his apartment and start deriding him for the Internet scam he has pulled on them, losing $30,000 in the process. They tell him they want their money by Christmas or else they will have their enforcer Eliot (Jung-Yul Kim) beat him up. Bill and Harry leave and Nick decides to run away. Nick is leaving the building when Eliot sees him leaving and chases him. Nick manages to escape when he runs to a North Pole stage where kids meet Santa Claus. He steals the costume for Santa Claus and walks to the bus stop in disguise and goes to his brother's house.  Meanwhile, the house's mischievous 14-year-old Danny Wrigley (Josh Zuckerman) welcomes his uncle because he has a better relationship with him than any other person in his family. Danny's father (Barclay Hope) however is less than thrilled to see his older brother, while his wife (Torri Higginson) welcomes Nick. Danny's parents, both doctors, are called into the hospital and reluctantly leave Nick to look after their three children. After receiving a threatening e-mail from Bill and Harry that they are currently tracking him down to get the money out of him, Nick ends up having to unleash a virus to throw them off his trail. On Christmas Eve, Santa comes to the house with a device that can freeze time, in order to put the family's presents under the tree unnoticed. An object hits the device, time goes back to normal, and Nick hits him unconscious. They decide to deliver Santa's presents. While Nick is delivering the presents, unbeknown to Danny he is stealing from the houses. When Danny finds out that Nick is stealing he feels betrayed and goes back home in Santa's sleigh.  Meanwhile, Danny's younger siblings, Kaitlyn (Brenda Grate) and Peter (Rhys Williams) find an unconscious Santa (Jefferson Mappin) on the floor of their living room. He wakes up and convinces them that he is Santa. They find out that Danny and Nick have stolen the sleigh and presents and Santa says that Danny will be on the naughty list forever. When Danny comes back he apologizes to Santa, but the sleigh is broken.  Nick is sitting at a bus stop when he sees Bill, Harry, and Eliot. They ask him where the address to his brother's house is as they don't recognize him because he is wearing a Santa costume. Nick doesn't answer them and they drive off. Nick realizes a second later they are going to his brother's house, which means that his family is in trouble. Nick, who still has Santa's device, races back to the house and get there just in time. He saves his family from the men using the device to shrink Eliot. This causes Bill, Harry, and Eliot to drive away terrified. Nick returns the device to Santa and then gives Santa his beloved laptop to fix Santa's sleigh and save Christmas.  The next morning, Nick wakes up and sees Santa has given him the guitar that he has wanted since childhood, but never got for Christmas because he was on the naughty list. He agrees to sell the guitar to pay off his debts but entertains the family by playing it first."
(Untitled) (2009 film),https://upload.wikimedia.org/wikipedia/en/f/f1/Untitled_poster.jpg,"Set in the artsy Chelsea, this satirical film centers on a young bohemian avant-garde composer Adrian, who becomes involved with a trendy New York art gallery owner, Madeleine. Adrian is a composer who makes music by breaking glass and kicking metal buckets. In contrast to Adrian is his brother Josh, a successful painter who happens to bring Madeline to one of his brother's concerts. Madeleine is immediately drawn to Adrian's work and invites him to perform at her gallery and into her bedroom. Eventually, Josh discovers the secret relationship between Madeleine and Adrian, and the fact that Madeleine has been using Josh's paintings, which have commercial appeal, to keep the gallery running while it features more avant-garde work."
.45 (film),https://upload.wikimedia.org/wikipedia/en/0/0b/45_%28film%29_poster.jpg,"Big Al (Angus Macfadyen), and his girlfriend Kat (Milla Jovovich), are small-time crooks dealing in guns and stolen goods in Queens, New York City while also cleverly avoiding the NYPD and ATF. Vic (Sarah Strange), is Kat's friend and ex-lover who still has a crush on her and hates Big Al.  Big Al is almost arrested in a police sting, but is released when they realize he is unarmed...as Kat was holding the guns.  Returning home, they catch a thief trying to take their TV out the window, and Big Al gives him a beating.  They call the police and berate them for not catching the 'real crooks', all the while surrounded by the stolen goods that are their livelihood.  Meeting up with his old partner, Reilly (Stephen Dorff), they steal a car as Al tries to convince him to come back to help Al run the gun business.  However, Kat has plans on her own; she wants to sell guns on her own in order to move to a better neighborhood. She meets up with Jose (Vincent Laresca), a drug dealer and Big Al's rival, and sells him a gun. However, Clancy (Tony Munch), a local snitch working for Al, notices them. Kat returns home and pretends to have been out with Vic, upsetting Al.  When Jose brazenly comes on to Kat, Al, Clancy, and their friends punish him by appearing to cut off his fingers. Al comes home later, and based on comments from Clancy, accuses Kat of having sex with Jose and assaults her.  The next day, Vic and Reilly come over to console her but Al arrives home and a fight leads to Al firing his gun, injuring Kat.  Al is arrested and detained.  At the police precinct, Kat is questioned by Liz (Aisha Tyler), a member of a battered women's group that offers protection via sanctuary or court order.  Liz explains that Al doesn't really love her, and she used to be in an abusive marriage of her own.  Kat refuses to press charges but decides to leave him.  Big Al sneaks in through the window as she is packing, threatens her with death if she ever leaves.  When Liz and Vic arrive to take her, he convinces Kat to tell them she wants to stay.  Kat devises a plan to seduce Vic, Reilly, Jose and Liz, and telling each of them she'll do anything to be rid of Big Al.  After convincing Al to stay home one evening, a hooded figure takes Big Al's jacket with his name on it, his registered .45 handgun, and shoots Clancy.  The next day, Big Al goes into a church and threatens the priest. As he leaves the church he is arrested for Clancy's murder.  Kat, Vic, and Reilly watch from across the street.  Later Al begs Kat to find the real killer, knowing he has been set up, but can't figure out who did it.  Kat reveals that she is behind the plot, and is now in charge. Later, Reilly and Vic discuss who the killer is, and then realize they both fear the hard change in Kat, and decide to start a relationship together.  Kat meets up with the real killer: it was Liz.  Kissing, Liz says now they can be together but Kat explains she only used her and leaves Liz heartbroken. Kat picks up the gun business and the film ends with her living by the beach."
.com for Murder,https://upload.wikimedia.org/wikipedia/en/d/d5/Com_for_murder_dvd_cover.jpg,"Ben (Daltrey) is a successful and rich architect, living in Los Angeles. Sondra (Kinski) is his beloved wife, who broke a leg while skiing. As Ben is leaving town for his work, Sondra accesses his intelligent house computer Hal, and discovers that Ben has been chatting on ""American Love Online"". Posing as him, she chats with one of his online friends, Lynn (Valentine), and they agree to meet that night. Hacker Werther (Dean) rudely joins the conversation and later shuts out Sondra, and starts chatting in Ben's name. Sondra is meanwhile joined by her sister Misty (Sheridan), who came to look after her. Later that night Werther kills Lynn in her house, showing an online live feed of the murder to Sondra and Misty. Werther is shown to be a psychopath who loves to quote from The Sorrows of Young Werther by Goethe and calls his victims by the name Lotte (the object of the affections of Werther in that novel).  Sondra and Misty call the police and eventually speak with FBI agent Matheson (Lewis). When they send him the file of the murder, it appears to be encrypted. On the advice of agent Matheson, Sondra and Misty invite a computer expert to decrypt the file. As the expert arrives at the door, Werther calls them, pretending to be the expert. Sondra and Misty thus send the real expert away, believing he is the killer. A short while later, Werther shows up at the house, keeping his disguise. After he finishes the decrypting job and leaves the house, Misty walks after him to inform him that the gate is jammed. Werther suddenly turns towards her and cuts her left wrist slightly, just enough to keep her living for another 20 minutes, all the while viewed by Sondra from the computer. Werther then turns to enter the house and kill Sondra, but Sondra manages to lock the main entrance in time to prevent this. Werther then tries to open the pool door, but is electrocuted with 22,000 volts by Hal.  Sondra bandages Misty's wrist and tries to restore power to the house. Werther turns out not to be dead and in the meantime takes Misty. Carrying a passive night vision device that amplifies light 60,000 times, he is stunned by a lightning flash and falls off the second floor, coming to his death. Agent Matheson, his assistant agent Williams (Clarke) and the police finally arrive at the scene, after electronic disinformation by Werther had previously sent them to the other end of town."
1 Night in China,https://upload.wikimedia.org/wikipedia/en/5/53/1_Night_In_China.jpg,"The film features scenes of Laurer and Waltman taking a guided tour of China, intercut with footage of the pair participating in explicit anal, vaginal, and oral sex acts, with special emphasis on an anal sex scene, which serves as the climax of the film. Waltman admits to being under the influence of methamphetamine and marijuana during much of the film."
10 Items or Less (film),https://upload.wikimedia.org/wikipedia/en/4/4d/Ten_items_or_less_poster.jpg,"Through circumstance, two strangers—an actor preparing for an upcoming role and a cashier—drive around Los Angeles together, having a number of conversations about life and exploring the differences and similarities between their worlds."
"10,000 BC (film)",https://upload.wikimedia.org/wikipedia/en/b/bf/Ten_thousand_b_c.jpg,"Circa 10,000 BC, a hunter-gatherer tribe, called the Yagahl, live in the Ural Mountains and survive by hunting manaks. The tribe, led by a hunter who has killed a manak single-handedly and earned the White Spear, venerates Old Mother, an elderly Neanderthal with shamanistic powers. The manaks begin to dwindle, and the village chief finds a young girl named Evolet, who had survived a massacre of her village, perpetrated by what Old Mother calls ""four-legged demons,"" who will come when ""the Yagahl go on their last hunt."" She prophesies that whoever kills the leader of the ""demons"" will win both Evolet and the White Spear, becoming the next village chief, and saving everyone from starvation. The tribe believe that the demons are manaks and set out to hunt the herd leader; however, the current chief does not trust the prophecy and leaves to find another way to save his people faster. He entrusts the White Spear, his young son D'Leh, and the true purpose of his quest to his friend Tic'Tic. The rest of the tribe, including D'Leh's rival Ka'Ren, believe that D'Leh's father was a coward who fled, and they mock D’Leh as a result. D’Leh and Evolet find comfort in each other and fall in love over time.   Years later, when the manaks finally return, adult D'Leh hunts them with the men of his tribe under Tic'Tic's leadership. He manages to kill one by accident, inadvertently winning both the White Spear and Evolet. The village believes Old Mother's prophecy is coming true, but D'Leh is consumed by guilt for not having earned the White Spear fairly. After speaking with Tic'Tic, he gives up the White Spear, forfeiting his marriage to Evolet, who walks away, disappointed with him for ""giving her up."" The next day, horse-mounted slavers attack the camp. The warlord, taken by Evolet’s beauty, kidnaps her, enslaves the able-bodied, and kills those who fight back, leaving very few survivors. They realize the prophesied ""four-legged demons"" are the slavers on horseback. D'Leh, Tic'Tic, Ka'Ren, and a young boy, Baku, set out to rescue their fellow Yagahl as Old Mother follows their journey in spirit. During an attack on the slavers by terror birds, Evolet is recaptured along with Ka'Ren and Baku, and Tic'Tic is wounded. While hunting, D'Leh falls into a pit, where he helps free a trapped Spear-Tooth, asking it not to eat him, before also escaping. Tic'Tic recovers and they find their way to a village of sedentary farmers and learn of a prophecy from the Naku, another tribe: whoever can speak the language of the ""Spear-Tooth"" will help free their people. D'Leh realizes the prophecy is about him when the Spear-Tooth he rescued arrives to save him from the initially hostile Naku, who then offer D’Leh and Tic’Tic food and shelter upon seeing their prophecy unfold. They also learn that D'Leh's father was a guest of the Naku until the slavers captured him. Tic'Tic finally reveals to D'Leh that his father did not abandon the tribe. Rather, he set out to save it, but let the others believe he had fled to prevent them from following him.  Several tribes form a coalition to defeat the slavers, with D'Leh as their leader. They find the ships holding Evolet and their loved ones, but fail to reach them before they cast off. They set out to follow on foot through the surrounding desert. The war party nearly dies out while journeying, but D'leh learns to use the North Star to navigate the dunes. On the other side of the desert, they discover an advanced civilization, under the iron fist of the ""Almighty,"" who is feared as an untouchable god-king. Here it is discovered that the kidnapped tribesmen along with some manaks are used as slave labor to build pyramids. That night, the warlord attempts to assault Evolet, only to be arrested by the Almighty's priests when they find he has taken her without permission. One night, D'Leh and Tic’Tic sneak into the slave cages. There, D’Leh learns of the Almighty and the fate of his father, who perished as a slave. The party is spotted by the guards, who are killed by Tic'Tic before he succumbs to his wound. Meanwhile, the Almighty's priests believe that Evolet is destined to kill the Almighty, based on the whip scars on her hands matching the stars they call the ""Mark of the Hunter,"" and an ancient prophecy foreseeing their civilization's downfall. The Almighty deduces that Evolet is merely the herald of the true Hunter, which leaves him and his priests unsettled. D'Leh starts a rebellion among the slaves, killing many of the Almighty's forces, though Ka'Ren ends up sacrificing himself in the process as D'Leh eventually starts a manak stampede.   The Almighty threatens to kill Evolet if they do not abandon their rebellion. D'Leh feigns acceptance, but easily kills the Almighty with the White Spear, breaking his illusion of godhood. During the ensuing battle, Evolet is killed by the warlord, who is then killed by D'Leh. Devastated, he holds Evolet in his arms as she dies, but her life is restored in exchange for Old Mother’s, who dies having fulfilled her final duty. With the Almighty dead and his civilization destroyed, the Yagahl bid farewell to the other tribes and return home with seeds collected by D’Leh’s father, given to them by the Naku, to start a new life."
"10,000 Black Men Named George",https://upload.wikimedia.org/wikipedia/en/b/bb/10000BlackMenNamedGeorge.jpg,"The film follows union activist A. Philip Randolph's efforts to organize the black porters of the Pullman Company in 1920s America, known as the Brotherhood of Sleeping Car Porters.  The effort was intertwined with the election of Franklin D. Roosevelt as President of the United States.  The American Federation of Labor chartered The Brotherhood of Sleeping Car Porters, which made it the first African-American led union to be so recognized.    Cyrus Nowrasteh won the Pen USA West Literary Award for Best Teleplay for its screen writing.  The film is available for free via YouTube."
10.5 (miniseries),https://upload.wikimedia.org/wikipedia/en/4/49/10.5_poster.jpg,"Part 1 The film begins in the Seattle, Washington area with increasingly severe earthquake activity. A quake of magnitude 7.9 is measured at the Earthquake centre, where Dr. Samantha Hill takes command, displacing Dr. Jordan Fisher.  U.S. President Paul Hollister and FEMA Director Roy Nolan are informed about the situation.  A magnitude 8.4 earthquake opens a crack which engulfs an entire train east of Redding, California. As a result, Governor Carla Williams, who has just seen her daughter and ex-husband off on a camping trip, agrees to help the Governor of Washington. Amanda Williams and her father Clark Williams arrive at a town named Browning, where everything is covered in a thick red haze. They discover a car with a dead family inside, and are nearly trapped in quicksand.  Roy Nolan constructs a task force of the best geologists and seismologists, including Dr. Fisher and Dr. Hill. Dr. Hill mentions her Hidden Fault theory and is eventually given permission to prove it. She and Dr. Fisher visit a lake, where they see some animals that died from carbon monoxide poisoning and are almost poisoned themselves.  Back at the Task Force Center, Dr. Hill predicts that the next quake will be near San Francisco, California. It is deemed too risky to evacuate the entirety of San Francisco, which is eventually devastated by a 9.2 magnitude earthquake. After that, Dr. Hill predicts the next quake will happen at the San Andreas fault, which would wipe out the West Coast in its present shape killing 50 million people on the way. Dr. Hill hypothesizes that they could ""weld"" the fault shut by letting it experience immense heat, which could only be created with nuclear bombs.  Part 2 The President, after some deliberation, follows Nolan's advice to execute Dr. Hill's plan and allows the placement of the nuclear warheads. Additionally, he gives the order to evacuate the entire West Coast in case it fails and mobilizes all resources available for it.  Five of the six nuclear bombs have been successfully installed, but during the installation of the sixth, an earthquake occurs, and a warhead is lost. Nolan tries to set it manually, but is pinned by the warhead.  The Williams find a truck carrying survivors, and they are transported to Tent City, which has been set up for the refugees. In a wounded San Francisco, Carla Williams and her assistant Rachel are trapped under a wall. Carla survives, but Rachel is killed.  Deciding that nothing can be done about the lost sixth warhead, Dr. Hill decides to continue with the fault welding plan and detonate the first five. The sixth is activated by Nolan who manages to reach the control panel just in time, but is himself vaporized.  It seems to work, until Dr. Hill, concerned about southern California, observes a river flowing backwards, draining into the open fault. The last warhead was not deep enough when it exploded and Southern California is still in danger. Shortly after, a massive earthquake occurs. Eventually, the crack reaches Tent City and peaks at 10.5. When the earthquake stops, the survivors see that the southwestern coast of California has been cut away, forming a new island."
